dataset,method,params_tag,target_size,K_request,multiplicity_cap,split_id,seed,num_subgraphs,total_nodes,total_edges,unique_origs,coverage,multiplicity_max,multiplicity_p95,mean_size,mean_avg_deg,pos_rate_sub,pos_rate_source,prior_shift,deg_ratio,train_unique,val_unique
tolokers,forest_fire,ff_b0.5_M2,500,15,2,0,3407,13,6500,125120,4206,0.4848414985590778,2,2,500.0,38.498461538461534,0.23707692307692307,0.218097984790802,0.08702023681844429,0.5857243267089107,2782,1424
tolokers,metis,metis_K15,,15,1,0,3407,15,8323,122271,8323,0.9594236311239193,1,1,554.8666666666667,28.336665980790144,0.21194280908326324,0.218097984790802,-0.02822206593721055,0.4311204640266481,5550,2773
tolokers,uniform,uniform_K15,500,15,-1,0,3407,15,4791,15665,3512,0.4048414985590778,5,3,319.4,6.509958458503056,0.24128574410352746,0.218097984790802,0.10631808145759347,0.09904398468495416,2326,1186
tolokers,forest_fire,ff_b0.5_M2,500,15,2,1,3417,14,7000,124506,4370,0.5034562211981567,2,2,500.0,35.573142857142855,0.24814285714285714,0.21658986806869507,0.14568081764634777,0.5480795774047883,2907,1463
tolokers,metis,metis_K15,,15,1,1,3417,15,8496,119929,8496,0.9788018433179724,1,1,566.4,27.539124061594006,0.2143361581920904,0.21658986806869507,-0.010405426148049846,0.4242985090856479,5663,2833
tolokers,uniform,uniform_K15,500,15,-1,1,3417,15,4688,14055,3480,0.4009216589861751,5,3,312.53333333333336,5.971646323434228,0.2344283276450512,0.21658986806869507,0.08236054500341794,0.09200585414964269,2306,1174
tolokers,forest_fire,ff_b0.5_M2,500,15,2,2,3427,13,6500,128796,4205,0.48394521809184027,2,2,500.0,39.629538461538466,0.23753846153846153,0.21809184551239014,0.08916709370945552,0.5654074613921974,2788,1417
tolokers,metis,metis_K15,,15,1,2,3427,15,8421,126500,8421,0.9691564046495569,1,1,561.4,29.114951249112664,0.2190951193444959,0.21809184551239014,0.004600235418012355,0.41539243991688196,5605,2816
tolokers,uniform,uniform_K15,500,15,-1,2,3427,15,4825,14721,3508,0.40372885257221774,5,3,321.6666666666667,6.086717323962111,0.22569948186528496,0.21809184551239014,0.0348827180357032,0.08684116757234937,2341,1167
tolokers,forest_fire,ff_b0.3_M1,500,15,1,0,3407,11,5500,68890,5500,0.6340057636887608,1,1,500.0,25.05090909090909,0.24236363636363636,0.218097984790802,0.11126031997090569,0.38113021337385145,3634,1866
tolokers,forest_fire,ff_b0.3_M2,500,15,2,0,3407,15,7500,105387,4698,0.5415561959654178,2,2,500.0,28.103199999999998,0.24586666666666668,0.218097984790802,0.12732204702624927,0.42756845963626156,3126,1572
tolokers,forest_fire,ff_b0.3_Minf,500,15,-1,0,3407,15,7500,256894,3411,0.39319884726224785,12,6,500.0,68.50506666666666,0.29373333333333335,0.218097984790802,0.3467952655091253,1.0422516237277633,2247,1164
tolokers,forest_fire,ff_b0.5_M1,500,15,1,0,3407,10,5000,74537,5000,0.5763688760806917,1,1,500.0,29.814799999999998,0.2404,0.218097984790802,0.10225686051427729,0.45360913028990335,3366,1634
tolokers,forest_fire,ff_b0.5_Minf,500,15,-1,0,3407,15,7500,264908,3416,0.39377521613832855,10,5,500.0,70.64213333333332,0.27413333333333334,0.218097984790802,0.2569274016735186,1.0747654407595126,2259,1157
tolokers,forest_fire,ff_b0.7_M1,500,15,1,0,3407,12,5503,79759,5503,0.6343515850144092,1,1,458.5833333333333,26.752,0.2380519716518263,0.218097984790802,0.09149092725530683,0.4070109963345551,3653,1850
tolokers,forest_fire,ff_b0.7_M2,500,15,2,0,3407,14,7000,120705,4401,0.5073198847262248,2,2,500.0,34.48714285714285,0.253,0.218097984790802,0.16002905869431006,0.5246952143771624,2923,1478
tolokers,forest_fire,ff_b0.7_Minf,500,15,-1,0,3407,15,7500,303903,3313,0.38190201729106626,12,6,500.0,81.04079999999998,0.32786666666666664,0.218097984790802,0.5032998447058279,1.2329731142250826,2207,1106
tolokers,rwr,rwr_r0.1_M1,500,15,1,0,3407,12,5164,45235,5164,0.5952737752161383,1,1,430.3333333333333,15.285127572016462,0.24961270333075136,0.218097984790802,0.14449798135538972,0.23255139810807415,3396,1768
tolokers,rwr,rwr_r0.1_M2,500,15,2,0,3407,15,7500,90582,4742,0.546628242074928,2,2,500.0,24.1552,0.24093333333333333,0.218097984790802,0.10470224456422561,0.36750269208509445,3147,1595
tolokers,rwr,rwr_r0.15_M1,500,15,1,0,3407,12,5602,50908,5602,0.6457636887608069,1,1,466.8333333333333,17.163130718954246,0.24044983934309175,0.218097984790802,0.10248537864175811,0.26112376398556286,3718,1884
tolokers,rwr,rwr_r0.15_M2,500,15,2,0,3407,15,7500,98316,4711,0.5430547550432276,2,2,500.0,26.217599999999997,0.246,0.218097984790802,0.1279333930387363,0.3988805135130395,3155,1556
