dataset,method,params_tag,target_size,K_request,multiplicity_cap,split_id,seed,num_subgraphs,total_nodes,total_edges,unique_origs,coverage,multiplicity_max,multiplicity_p95,mean_size,size_min,size_p25,size_p75,size_max,size_std,mean_avg_deg,pos_rate_sub,pos_rate_source,prior_shift,deg_ratio,train_unique,val_unique
tolokers,forest_fire,ff_b0.3_M1,500,15,1,0,3407,11,5500,68890,5500,0.6340057636887608,1,1,500.0,500,500.0,500.0,500,0.0,25.05090909090909,0.24236363636363636,0.218097984790802,0.11126031997090569,0.38113021337385145,3634,1866
tolokers,forest_fire,ff_b0.3_M2,500,15,2,0,3407,15,7500,105387,4698,0.5415561959654178,2,2,500.0,500,500.0,500.0,500,0.0,28.103199999999998,0.24586666666666668,0.218097984790802,0.12732204702624927,0.42756845963626156,3126,1572
tolokers,forest_fire,ff_b0.3_Minf,500,15,-1,0,3407,15,7500,256894,3411,0.39319884726224785,12,6,500.0,500,500.0,500.0,500,0.0,68.50506666666666,0.29373333333333335,0.218097984790802,0.3467952655091253,1.0422516237277633,2247,1164
tolokers,forest_fire,ff_b0.5_M1,500,15,1,0,3407,10,5000,74537,5000,0.5763688760806917,1,1,500.0,500,500.0,500.0,500,0.0,29.814799999999998,0.2404,0.218097984790802,0.10225686051427729,0.45360913028990335,3366,1634
tolokers,forest_fire,ff_b0.5_M2,500,15,2,0,3407,13,6500,125120,4206,0.4848414985590778,2,2,500.0,500,500.0,500.0,500,0.0,38.498461538461534,0.23707692307692307,0.218097984790802,0.08702023681844429,0.5857243267089107,2782,1424
tolokers,forest_fire,ff_b0.5_Minf,500,15,-1,0,3407,15,7500,264908,3416,0.39377521613832855,10,5,500.0,500,500.0,500.0,500,0.0,70.64213333333332,0.27413333333333334,0.218097984790802,0.2569274016735186,1.0747654407595126,2259,1157
tolokers,forest_fire,ff_b0.7_M1,500,15,1,0,3407,12,5503,79759,5503,0.6343515850144092,1,1,458.5833333333333,3,500.0,500.0,500,137.36354340055283,26.752,0.2380519716518263,0.218097984790802,0.09149092725530683,0.4070109963345551,3653,1850
tolokers,forest_fire,ff_b0.7_M2,500,15,2,0,3407,14,7000,120705,4401,0.5073198847262248,2,2,500.0,500,500.0,500.0,500,0.0,34.48714285714285,0.253,0.218097984790802,0.16002905869431006,0.5246952143771624,2923,1478
tolokers,forest_fire,ff_b0.7_Minf,500,15,-1,0,3407,15,7500,303903,3313,0.38190201729106626,12,6,500.0,500,500.0,500.0,500,0.0,81.04079999999998,0.32786666666666664,0.218097984790802,0.5032998447058279,1.2329731142250826,2207,1106
tolokers,rwr,rwr_r0.1_M1,500,15,1,0,3407,12,5164,45235,5164,0.5952737752161383,1,1,430.3333333333333,2,500.0,500.0,500,159.16623036589417,15.285127572016462,0.24961270333075136,0.218097984790802,0.14449798135538972,0.23255139810807415,3396,1768
tolokers,rwr,rwr_r0.1_M2,500,15,2,0,3407,15,7500,90582,4742,0.546628242074928,2,2,500.0,500,500.0,500.0,500,0.0,24.1552,0.24093333333333333,0.218097984790802,0.10470224456422561,0.36750269208509445,3147,1595
tolokers,rwr,rwr_r0.15_M1,500,15,1,0,3407,12,5602,50908,5602,0.6457636887608069,1,1,466.8333333333333,102,500.0,500.0,500,110.00138888012076,17.163130718954246,0.24044983934309175,0.218097984790802,0.10248537864175811,0.26112376398556286,3718,1884
tolokers,rwr,rwr_r0.15_M2,500,15,2,0,3407,15,7500,98316,4711,0.5430547550432276,2,2,500.0,500,500.0,500.0,500,0.0,26.217599999999997,0.246,0.218097984790802,0.1279333930387363,0.3988805135130395,3155,1556
tolokers,metis,metis_K5,,5,1,0,3407,5,8066,208269,8066,0.9297982708933717,1,1,1613.2,1201,1669.0,1735.0,1736,207.57495031915582,48.846825491593,0.21906769154475578,0.218097984790802,0.004446197679836006,0.7431666832802563,5365,2701
tolokers,metis,metis_K15,,15,1,0,3407,15,8323,122271,8323,0.9594236311239193,1,1,554.8666666666667,401,538.0,590.0,595,49.4649595392761,28.336665980790144,0.21194280908326324,0.218097984790802,-0.02822206593721055,0.4311204640266481,5550,2773
tolokers,uniform,uniform_K15,500,15,-1,0,3407,15,4791,15665,3512,0.4048414985590778,5,3,319.4,285,312.0,328.0,349,15.396103403134182,6.509958458503056,0.24128574410352746,0.218097984790802,0.10631808145759347,0.09904398468495416,2326,1186
tolokers,bfs_partition,bfs_part_mn32,500,0,1,0,3407,290,6938,68447,6938,0.7997694524495678,1,1,23.924137931034483,2,2.0,3.0,500,98.96785146832701,2.1428219455928605,0.2365234938022485,0.218097984790802,0.08448271096644988,0.03260137915084106,4608,2330
tolokers,bfs_snowball,bfs_snow_ts500_mn8_dinf_M1,500,15,1,0,3407,11,5500,65154,5500,0.6340057636887608,1,1,500.0,500,500.0,500.0,500,0.0,23.69236363636364,0.22218181818181817,0.218097984790802,0.01872476444444615,0.3604609946604721,3663,1837
tolokers,bfs_snowball,bfs_snow_ts500_mn8_dinf_Minf,500,15,-1,0,3407,15,7500,267353,3512,0.4048414985590778,13,5,500.0,500,500.0,500.0,500,0.0,71.29413333333333,0.32813333333333333,0.218097984790802,0.5045225367308022,1.0846851166570208,2325,1187
tolokers,bfs_snowball,bfs_snow_ts500_mn16_dinf_M1,500,15,1,0,3407,10,4502,56761,4502,0.5189625360230548,1,1,450.2,2,500.0,500.0,500,149.4,22.803999999999995,0.23167481119502442,0.218097984790802,0.06225104013338423,0.3469452287833879,2991,1511
tolokers,bfs_snowball,bfs_snow_ts500_mn16_dinf_Minf,500,15,-1,0,3407,15,7500,225601,3727,0.42962536023054754,12,5,500.0,500,500.0,500.0,500,0.0,60.16026666666667,0.27746666666666664,0.218097984790802,0.2722110519856964,0.9152919436211322,2497,1230
tolokers,bfs_snowball,bfs_snow_ts500_mn32_dinf_M1,500,15,1,0,3407,12,5502,67889,5502,0.6342363112391931,1,1,458.5,2,500.0,500.0,500,137.6399287997491,22.712666666666667,0.23809523809523808,0.218097984790802,0.09168930801271413,0.3455556627323056,3666,1836
tolokers,bfs_snowball,bfs_snow_ts500_mn32_dinf_Minf,500,15,-1,0,3407,15,7500,271434,3703,0.4268587896253602,11,5,500.0,500,500.0,500.0,500,0.0,72.38239999999998,0.3076,0.218097984790802,0.4103752508077856,1.101242252582472,2448,1255
tolokers,bfs_snowball,bfs_snow_tsinf_mn8_d2_M1,,15,1,0,3407,15,1025,8117,1025,0.11815561959654179,1,1,68.33333333333333,38,67.5,73.0,73,8.993825042154693,15.573697868062345,0.3053658536585366,0.218097984790802,0.4001314773790381,0.2369417720504408,680,345
tolokers,bfs_snowball,bfs_snow_tsinf_mn16_d2_M1,,15,1,0,3407,15,2528,35706,2528,0.2914121037463977,1,1,168.53333333333333,18,70.0,264.0,273,99.89118524118577,21.097254600706275,0.23378164556962025,0.218097984790802,0.0719110760874837,0.32097841712609293,1672,856
