dataset,model,split_id,seed,AUROC,AUPRC,RecK,time_sec
tolokers,GCN,0,3407,0.7444998224109275,0.42550753385553797,0.40809968847352024,9.075899362564087
tolokers,GIN,0,3407,0.7404044286105486,0.3658361602059132,0.3660436137071651,4.5856029987335205
tolokers,GraphSAGE,0,3407,0.7925800303121501,0.48275687451501903,0.46261682242990654,3.839287042617798
tolokers,XGBGraph,0,3407,0.8009589132091023,0.48371828538265216,0.49065420560747663,0.7192962169647217
tolokers,XGBoost,0,3407,0.7329372148068618,0.3779263470431612,0.3987538940809969,0.5914466381072998
tolokers,GCN,1,3417,0.7700150340672778,0.4679304724820411,0.46105919003115264,5.710183620452881
tolokers,GIN,1,3417,0.763020939242847,0.418349010131983,0.4205607476635514,4.253812551498413
tolokers,GraphSAGE,1,3417,0.7952431885779048,0.4810291930321775,0.4688473520249221,3.8520021438598633
tolokers,XGBGraph,1,3417,0.8043381892421692,0.5020058890645825,0.5031152647975078,0.6876978874206543
tolokers,XGBoost,1,3417,0.7349137405138966,0.3977760652999956,0.4127725856697819,0.5995252132415771
tolokers,GCN,2,3427,0.7453179522217612,0.42577277785348655,0.40031152647975077,3.512968063354492
tolokers,GIN,2,3427,0.7675880963807077,0.4261563279100967,0.4174454828660436,4.099127531051636
tolokers,GraphSAGE,2,3427,0.7946636517193605,0.48191282555069054,0.4657320872274143,3.3929662704467773
tolokers,XGBGraph,2,3427,0.8015757302164417,0.47510996417747153,0.4688473520249221,0.6733980178833008
tolokers,XGBoost,2,3427,0.7444100111433753,0.40456747432771656,0.40965732087227413,0.5722260475158691
questions,GCN,0,3407,0.6979076860559351,0.1253446764026686,0.1726027397260274,4.393173694610596
questions,GIN,0,3407,0.6761255249833182,0.1223990860454302,0.18904109589041096,8.20739197731018
questions,GraphSAGE,0,3407,0.7294204230343861,0.1693048423473921,0.1917808219178082,4.9408183097839355
questions,XGBGraph,0,3407,0.6562733630564132,0.14560037149036298,0.14520547945205478,16.79101848602295
questions,XGBoost,0,3407,0.568923989111286,0.1459643879835649,0.1726027397260274,6.1879658699035645
questions,GCN,1,3417,0.7179579505390098,0.13086012469546124,0.16164383561643836,5.9124228954315186
questions,GIN,1,3417,0.6858831148740848,0.1390444446003269,0.16986301369863013,5.152546405792236
questions,GraphSAGE,1,3417,0.730420633143158,0.16960350541487768,0.20821917808219179,3.877068281173706
questions,XGBGraph,1,3417,0.6382424516692102,0.14778442577420145,0.15342465753424658,17.42078137397766
questions,XGBoost,1,3417,0.5740655354656681,0.15767373597573295,0.17534246575342466,6.366024971008301
questions,GCN,2,3427,0.6928031973475499,0.11101971572359992,0.14520547945205478,3.964686155319214
questions,GIN,2,3427,0.6958672066385136,0.11657014230739059,0.15342465753424658,2.2993967533111572
questions,GraphSAGE,2,3427,0.7347794666007864,0.17674894502087374,0.2191780821917808,3.8580825328826904
questions,XGBGraph,2,3427,0.6513920283346686,0.16202535888034794,0.16164383561643836,15.500754356384277
questions,XGBoost,2,3427,0.5871864819248734,0.15285379203641056,0.16986301369863013,6.454418897628784
weibo,GCN,0,3407,0.9829536276351193,0.9343593664500016,0.899135446685879,2.7945563793182373
weibo,GIN,0,3407,0.9746784807948728,0.9267181734165252,0.8789625360230547,2.507114887237549
weibo,GraphSAGE,0,3407,0.9654460645858125,0.8925237636761562,0.861671469740634,2.0870325565338135
weibo,XGBGraph,0,3407,0.994402626636271,0.9668047730106486,0.9221902017291066,4.287006378173828
weibo,XGBoost,0,3407,0.9902724609421671,0.9502779804895342,0.8731988472622478,2.2046642303466797
weibo,GCN,1,3417,0.9826147839094633,0.9605638322247305,0.9221902017291066,2.392094850540161
weibo,GIN,1,3417,0.954151910954354,0.9106514122903626,0.8703170028818443,2.060957431793213
weibo,GraphSAGE,1,3417,0.9397398215454904,0.8529593481632852,0.8443804034582133,1.8170709609985352
weibo,XGBGraph,1,3417,0.9979162783584479,0.9857229063424572,0.9423631123919308,4.439140796661377
weibo,XGBoost,1,3417,0.9907197920101701,0.9522405325501189,0.8789625360230547,2.3860132694244385
weibo,GCN,2,3427,0.9773175429289671,0.9473572481961017,0.899135446685879,2.542952537536621
weibo,GIN,2,3427,0.9502172136435976,0.9161780791671261,0.8818443804034583,2.610339879989624
weibo,GraphSAGE,2,3427,0.940395046859841,0.8445406273369622,0.8011527377521613,1.8249139785766602
weibo,XGBGraph,2,3427,0.9912168265301734,0.9694880150718962,0.9279538904899135,4.166764497756958
weibo,XGBoost,2,3427,0.9918409871870236,0.9552685475748168,0.8847262247838616,2.208103895187378
